Age,Income,CreditScore,Education,HasMortgage,,LoanAmount
56,85994,520,Bachelor's,Yes,50587,51 
69,50432,458,Master's,No,124440,124 
46,84208,451,Master's,Yes,129188,129 
32,31713,743,High School,No,44799,45 
60,20437,633,Bachelor's,No,9139,9 
25,90298,720,High School,Yes,90448,90 
38,111188,429,Bachelor's,Yes,177025,177 
56,126802,531,PhD,No,155511,156 
36,42053,827,Bachelor's,Yes,92357,92 
40,132784,480,High School,Yes,228510,229 
28,140466,652,High School,No,163781,164 
28,149227,375,PhD,No,139759,140 
41,23265,829,Master's,Yes,63527,64 
53,117550,395,High School,No,95744,96 
57,139699,635,Master's,No,88143,88 
41,74064,432,Master's,Yes,230883,231 
20,119704,313,PhD,Yes,25697,26 
39,33015,811,Master's,Yes,10889,11 
19,40718,319,Bachelor's,Yes,78515,79 
41,123419,376,High School,Yes,161146,161 
61,30142,429,PhD,No,133714,134 
47,146113,419,Bachelor's,Yes,100621,101 
55,132058,583,High School,No,130912,131 
19,118989,528,PhD,Yes,123300,123 
38,56848,468,Bachelor's,No,168918,169 
50,81649,839,Master's,Yes,78193,78 
29,114651,343,Bachelor's,Yes,197648,198 
39,17633,514,High School,Yes,167105,167 
61,62519,462,Bachelor's,Yes,29676,30 
42,141412,580,Bachelor's,No,197764,198 
66,39568,604,High School,Yes,58945,59 
44,100284,551,Master's,No,225403,225 
59,102292,840,Master's,Yes,55337,55 
45,85673,787,PhD,No,48773,49 
33,92448,607,Bachelor's,Yes,66282,66 
32,102178,669,Master's,Yes,179279,179 
64,102463,506,Master's,No,218433,218 
68,85409,540,Master's,No,44772,45 
61,26470,695,PhD,Yes,19818,20 
69,87295,707,Bachelor's,No,16281,16 
20,139321,458,Master's,Yes,43049,43 
54,21487,386,PhD,Yes,84115,84 
68,111716,747,High School,No,215851,216 
24,105732,400,High School,Yes,33013,33 
38,73117,639,Bachelor's,No,221628,222 
26,125268,795,High School,No,67671,68 
56,24796,498,High School,Yes,37657,38 
35,95963,560,Master's,Yes,77552,78 
21,16170,505,PhD,No,66883,67 
42,143244,393,High School,No,240591,241 
31,103515,369,PhD,No,220032,220 
67,100949,439,Bachelor's,No,145906,146 
26,92153,634,PhD,No,214064,214 
43,70113,657,Bachelor's,No,215064,215 
19,24611,417,Bachelor's,No,41605,42 
37,37173,455,PhD,No,234059,234 
45,31137,351,Bachelor's,No,158128,158 
64,49565,655,High School,No,245711,246 
24,31644,737,High School,No,75317,75 
61,49113,771,High School,No,222046,222 
25,85814,669,High School,Yes,227368,227 
64,110606,669,Master's,No,137139,137 
52,76136,775,PhD,No,145318,145 
31,82461,680,Master's,No,222343,222 
34,37082,694,Bachelor's,Yes,175274,175 
53,149401,534,Bachelor's,No,245626,246 
67,77135,529,High School,Yes,159839,160 
57,34830,416,Bachelor's,No,63072,63 
21,142860,318,High School,No,238718,239 
19,20236,411,Bachelor's,No,165086,165 
23,17142,802,High School,Yes,110469,110 
59,60000,305,High School,Yes,117371,117 
21,142986,674,Bachelor's,Yes,142571,143 
46,59079,585,High School,No,122293,122 
35,118725,750,High School,Yes,169932,170 
43,130625,303,Master's,No,17462,17 
61,49191,487,High School,No,93324,93 
51,46887,730,PhD,No,119386,119 
27,23574,579,Master's,No,10480,10 
53,49335,750,PhD,Yes,187180,187 
31,143837,658,Bachelor's,Yes,193310,193 
48,99977,683,Bachelor's,Yes,27219,27 
65,80770,574,High School,Yes,217916,218 
32,46238,421,High School,No,134941,135 
25,24742,719,PhD,No,219541,220 
31,56982,692,High School,No,223728,224 
40,137937,542,High School,No,169513,170 
57,109000,453,Master's,No,17316,17 
38,59243,618,High School,Yes,217215,217 
33,35815,351,High School,No,166586,167 
62,138569,453,High School,Yes,248333,248 
35,90042,659,Master's,Yes,159330,159 
64,93741,747,Master's,Yes,232727,233 
41,114694,319,PhD,Yes,106334,106 
43,108283,371,PhD,Yes,84484,84 
42,30200,517,Bachelor's,Yes,182868,183 
62,25274,701,Master's,No,134289,134 
58,55299,361,Bachelor's,No,37681,38 
46,100459,578,Bachelor's,Yes,174884,175 
32,74554,656,Bachelor's,Yes,89606,90 
62,47383,553,Bachelor's,Yes,13109,13 
18,148123,734,High School,Yes,243038,243 
42,128414,346,PhD,Yes,79538,80 
24,40782,585,Bachelor's,Yes,172030,172 
26,28436,584,PhD,No,208194,208 
41,145047,811,Master's,Yes,34875,35 
18,93993,481,High School,Yes,132471,132 
61,137295,447,Bachelor's,No,81022,81 
25,29782,691,Bachelor's,Yes,223983,224 
41,39811,607,Master's,Yes,85372,85 
28,42063,457,High School,Yes,50451,50 
