Name,Type1,Type2,Campus setting,Campus housing,Net Price,State,Recipients,LoansOriginated,LoanAmount,Disbursements,DisbursementAmount
HARFORD COMMUNITY COLLEGE,2-year, Public,Rural,No,8278,MD,270,270,919809,284,464815
CHESTNUT HILL COLLEGE,4-year, Private not-for-profit,City,Yes,25357,PA,1676,1724,11420325,1787,5103403
HOOD COLLEGE,4-year, Private not-for-profit,City,Yes,23624,MD,13,13,151805,13,95170
AVI CAREER TRAINING,< 2-year, Private for-profit,Suburb,No,16810,VA,27,28,140722,28,70363
FISHER COLLEGE,4-year, Private not-for-profit,City,Yes,26257,MA,442,478,2528451,488,1278902
ANNA MARIA COLLEGE,4-year, Private not-for-profit,Rural,Yes,23894,MA,1150,1156,5456148,1202,2802182
DANVILLE COMMUNITY COLLEGE,2-year, Public,Town,No,6775,VA,148,148,462996,156,239665
BOSTON COLLEGE,4-year, Private not-for-profit,City,Yes,30559,MA,1072,1146,70219313,1155,35390890
DICKINSON COLLEGE,4-year, Private not-for-profit,City,Yes,37610,PA,1341,1379,8877611,1379,4528487
ALL-STATE CAREER SCHOOL,2-year, Private for-profit,Suburb,No,18511,PA,2,2,4375,4,4375
BERKLEE COLLEGE OF MUSIC,4-year, Private not-for-profit,City,Yes,46873,MA,9,9,186935,9,105918
ELMIRA COLLEGE,4-year, Private not-for-profit,City,Yes,24040,NY,1334,1522,7492562,1524,3681925
ITHACA COLLEGE,4-year, Private not-for-profit,Suburb,Yes,35858,NY,776,819,42546190,819,21554081
CONWAY SCHOOL OF LANDSCAPE DESIGN,4-year, Private not-for-profit,Suburb,No,0,MA,43,44,650349,44,325474
HOFSTRA UNIVERSITY,4-year, Private not-for-profit,Suburb,Yes,35036,NY,729,795,98820178,798,51073393
COMMUNITY COLLEGE OF PHILADELPHIA,2-year, Public,City,No,9584,PA,352,358,427433,577,424149
AVERETT UNIVERSITY,4-year, Private not-for-profit,Town,Yes,23781,VA,1441,1456,7789183,1474,4124488
CORNELL UNIVERSITY,4-year, Private not-for-profit,City,Yes,26060,NY,6,6,97964,6,48982
